[00:00.00 - 00:01.06] 继续看第二段
[16:52.10 - 16:54.00] 你就会觉得这个人没什么思想
[16:54.00 - 16:55.40] 只会转数别人的话
[16:55.40 - 16:56.48] 就像个英语一样
[16:56.48 - 16:56.94] 当然
[16:56.94 - 16:59.14] 英语在某个场合重复这句话
[16:59.14 - 17:00.62] 也不是随便重复的
[17:00.62 - 17:03.32] 他也是选择了这个场合最适合的话
[17:03.32 - 17:04.54] 就相当于这个专块
[17:04.54 - 17:06.92] 也是要选择服务你中心思想的
[17:06.92 - 17:08.22] 就像英语看到你回家
[17:08.22 - 17:10.36] 可能会说欢迎欢迎之类的
[17:10.36 - 17:11.64] 说明他能明白这个话
[17:11.64 - 17:12.80] 适合什么场合使用
[17:12.80 - 17:14.16] 所以你的专块部分
[17:14.16 - 17:15.80] 其马不能比英语差吧
[17:15.80 - 17:17.60] 你会发现不好的文线点平
[17:17.60 - 17:19.44] 其中放的一些文线转数
[17:19.44 - 17:20.48] 和当前的主题
[17:20.48 - 17:22.62] 以及和这篇论文的中心思想
[17:22.62 - 17:23.96] 并不是紧密联系的
[17:23.96 - 17:26.44] 但是除了这些英语学蛇的专块部分
[17:26.44 - 17:28.50] 也就是直接文线转数部分
[17:28.50 - 17:29.80] 文线点平部分
[17:29.80 - 17:31.22] 还要有一些水泥的部分
[17:31.22 - 17:33.80] 就是你自己体谅概括出来的一些观点
[17:33.80 - 17:36.80] 或者根据文线的结论推论出来的其他结论
[17:36.80 - 17:38.36] 比如开头的这句话
[17:38.36 - 17:39.76] 就属于水泥部分
[17:39.76 - 17:40.94] 与专块不同
[17:40.94 - 17:43.08] 这并不需要作者亲自去做实验
[17:43.08 - 17:44.08] 才能获得证据
[17:44.08 - 17:45.48] 才能写出这句话
[17:45.48 - 17:46.98] 作者根据文线分析
[17:46.98 - 17:48.74] 就可以得到这样的结论了
[17:48.74 - 17:50.30] 比如作者这里说的是
[17:50.30 - 17:52.50] 从真正实际应用的角度而言
[17:52.50 - 17:53.84] 故态新空气电池
[17:53.84 - 17:55.28] 还面临著重大的障碍
[17:55.28 - 17:58.36] 你通过原则时的真实世界第一性原理思考
[17:58.36 - 18:00.82] 或者你可以将其理解为用长时思考
[18:00.82 - 18:01.90] 就能体会到
[18:01.90 - 18:03.50] 这句话肯定是没毛病的
[18:03.50 - 18:05.28] 不然可充电新空气电池
[18:05.28 - 18:06.90] 早被广泛商业化了
[18:06.90 - 18:08.58] 现在既然没被商业化
[18:08.58 - 18:10.14] 就说明肯定存在问题
[18:10.14 - 18:12.90] 因此这句话并不需要别人文线支撑
[18:12.90 - 18:15.36] 完全是可以作者自己体谅出来
[18:15.36 - 18:18.32] 你自己在逃保金东搜索一下就知道了
[18:18.32 - 18:20.80] 可充电新空气电池目前确实没有
[18:20.80 - 18:21.30] 当然
[18:21.30 - 18:23.34] 你会发现好像你的研究工作
[18:23.34 - 18:24.34] 也适合这么说
[18:24.34 - 18:26.06] 比如你也是做某个期间
[18:26.06 - 18:27.38] 某个材料的
[18:27.38 - 18:29.46] 你也可以说从实际应用的角度而言
[18:29.46 - 18:32.28] 这个材料或者这个期间还面临很大的障碍
[18:32.28 - 18:34.58] 或者你是生命科学领域的
[18:34.58 - 18:36.62] 你可以说从临床应用的角度而言
[18:36.62 - 18:39.44] 这个了法或者这个要物还面临很大的障碍
[18:39.44 - 18:40.48] 好像也行
[18:40.48 - 18:42.08] 所以这种水泥属性的话
[18:42.08 - 18:43.84] 有时看起来会比较撤骨路
[18:43.84 - 18:46.72] 所以也是画术方面最容易被人模仿的
[18:46.72 - 18:49.38] 但你模仿的时候要注意不要无脑模仿
[18:49.38 - 18:52.50] 导致偏离你当前的主题和全文的中心思想
[18:52.50 - 18:54.76] 经过这么多次训练你就知道了
[18:54.76 - 18:57.44] 你的模仿一定要非常气和你当前的主题
[18:57.86 - 19:00.08] 多使用自自指向标题的原则依
[19:00.08 - 19:02.68] 还有自自有关联的原则物就行了
[19:03.24 - 19:04.92] 第四句话和第五句话
[19:04.92 - 19:06.42] 也是属于水泥部分
[19:06.42 - 19:09.16] 第四句话是作者对西芬领域内的文线
[19:09.16 - 19:11.58] 做了剧籁分析后总结出来的结论
[19:11.58 - 19:13.56] 做了剧籁分析后就能发现
[19:13.56 - 19:15.94] 在当时西芬领域内的文线
[19:15.94 - 19:18.86] 大部分确实都集中在发展双功能空气
[19:18.86 - 19:20.76] 推华电击上第五句话
[19:20.76 - 19:22.08] 我们当时分析过
[19:22.08 - 19:24.34] 作者这里给出的是自己一个观点
[19:24.34 - 19:27.14] 后面是会对这个观点进行展开POC的
[19:27.14 - 19:29.38] 后面对这个观点进行支撑的时候
[19:29.38 - 19:30.96] 就会出现相关的专快
[19:30.96 - 19:33.18] 属于一个小型的总分结构
[19:33.18 - 19:35.50] 你会发现这种总分结构中的总
[19:35.50 - 19:36.50] 往往是水泥
[19:36.50 - 19:38.04] 这也是可以理解的
[19:38.04 - 19:40.74] 总分钟的总作为最容易体现水泥的地方
[19:40.74 - 19:43.70] 也就是最容易体现作者本人概括能力的地方
[19:43.70 - 19:45.94] 如果连总都要基于文线转数
[19:45.94 - 19:48.84] 那考虑后面的分更需要文线转数
[19:48.84 - 19:52.00] 这样一来全文大比例都是文线转数
[19:52.00 - 19:53.46] 也就是专快了
[19:53.46 - 19:55.56] 有时候一句话中借由水泥部分
[19:55.56 - 19:57.00] 又有专快部分
[19:57.00 - 19:59.76] 比如这句话我之前已经点苹果了
[19:59.76 - 20:02.96] 第七句话同样是作者根据常识总结出的
[20:02.96 - 20:04.64] 所以这句话没有引用文线
[20:05.06 - 20:06.84] 新空气电池的半开放结构
[20:06.84 - 20:08.96] 很容易让人联想到电解业中的水
[20:08.96 - 20:10.60] 会更容易挥发损失
[20:10.60 - 20:12.94] 而且此处你又能感觉到
[20:12.94 - 20:15.74] 作者在写作中这种研思合缝的卡扣结构
[20:15.74 - 20:17.50] 这里提到的半开放结构
[20:17.50 - 20:19.92] 其实在第一次引出新空气电池的时候
[20:19.92 - 20:20.94] 就特别提过
[20:20.94 - 20:22.48] 建低一段的第二句话
[20:22.48 - 20:25.12] 在背景这里就引出半开放这个概念
[20:25.12 - 20:26.20] 还有个好处
[20:26.20 - 20:28.90] 这样就不至于让人在之后讲问题的时候
[20:28.90 - 20:31.06] 才第一次了解到半开放这个概念
[20:31.06 - 20:34.02] 而是在先前背景这里就已经铺电了
[20:34.02 - 20:36.00] 考虑到有些人可能是大同航
[20:36.00 - 20:38.32] 他还不太了解新空气电池的结构
[20:38.32 - 20:41.20] 还以为适合普通电池一样的风批结构
[20:41.20 - 20:43.26] 当然第一段的第二句话
[20:43.26 - 20:44.42] 引入半开放结构
[20:44.42 - 20:45.80] 也不是为了引入而引入
[20:45.80 - 20:47.60] 不是为了做服彼而做服彼
[20:47.94 - 20:49.30] 放在这确实有好处
[20:49.30 - 20:50.78] 因为这个半开放结构
[20:50.78 - 20:53.08] 和新空气电池具有高的能量密度
[20:53.08 - 20:54.70] 是有密切关联的
[20:54.70 - 20:56.66] 因此也符合自自有关联原则
[20:56.66 - 20:58.58] 最终的每一个单词和词组
[20:58.58 - 21:00.98] 都是支持当前这句话的主题的
[21:00.98 - 21:02.36] 但到了第二段就能看到
[21:02.36 - 21:04.22] 同样是这个半开放结构
[21:04.22 - 21:06.26] 就会带来水容易损失的特点
[21:06.26 - 21:08.08] 所以是成也消合
[21:08.08 - 21:09.08] 败也消合
[21:09.08 - 21:12.34] 第二段的第九句话是讲大多数研究的思路
[21:12.34 - 21:14.96] 这同样是作者可以自己盖扣出来的
[21:14.96 - 21:16.56] 而并不是来自于一篇
[21:16.56 - 21:18.06] 或者几篇文线的转数
[21:18.06 - 21:19.60] 因此没有引用文线
[21:19.60 - 21:22.94] 下一句话说的是由于受限于养反应的雇有路径
[21:22.94 - 21:24.46] 这种提升有天花板
[21:24.46 - 21:25.74] 这同样是长史
[21:25.74 - 21:27.58] 这是基本的热力学定率
[21:27.58 - 21:29.20] 因此也没有引用文线
[21:29.20 - 21:30.38] 属于水泥部分
[21:30.38 - 21:31.70] 你可能会担心
[21:31.70 - 21:33.22] 自己写不出这样的话
[21:33.22 - 21:35.06] 同样先不要纠结这个问题
[21:35.06 - 21:37.28] 你目前只要能使别这是水泥
[21:37.28 - 21:38.96] 以及这个水泥放在这起
[21:38.96 - 21:40.52] 什么作用就可以了
[21:40.52 - 21:41.22] 至于作用
[21:41.22 - 21:42.56] 我先前已经分析过了
[21:42.56 - 21:44.32] 这里是总分结构中的分
[21:44.32 - 21:46.92] 对应的是总数中的第二个问题点
[21:46.92 - 21:48.80] 接著是本段最后两句话
[21:48.80 - 21:51.68] 因为体现的是作者本人提出的解决思路
[21:51.68 - 21:53.28] 所以也是没有引用文线
[21:53.28 - 21:54.52] 属于水泥部分
[21:54.52 - 21:56.50] 这种体现作者研究思路的
[21:56.50 - 21:57.68] 一般都属于水泥
[21:58.06 - 21:59.68] 因为如果需要文线支撑
[21:59.68 - 22:01.72] 那一位整内篇药引用的文线
[22:01.72 - 22:02.80] 也具有这个思路
[22:02.80 - 22:05.14] 既然那个文线也提出了这样的思路
[22:05.14 - 22:07.46] 那王王也意味著他解决了这个问题
[22:07.46 - 22:09.42] 为什么还要你这篇文章呢
[22:09.42 - 22:11.20] 当然有可能是作者的
[22:11.20 - 22:13.94] 解决思路中有部分片段是需要文线支撑
[22:13.94 - 22:16.12] 另外部分片段是自己的观点
[22:16.12 - 22:18.28] 就是水泥加专快组混合
[22:18.28 - 22:21.02] 整个第二段都涉及文线点评部分
[22:21.02 - 22:24.60] 我们把其中的水泥和专快部分都标记会总出来
[22:55.62 - 22:57.16] 水泥中除了刚或部分
[22:57.16 - 22:59.04] 你会发现一些连接词
[22:59.04 - 23:02.14] 比如Despite First Second for example
[23:02.14 - 23:04.30] In addition moreover however
[23:04.30 - 23:06.66] Therefore等也被我们试做水泥
[23:06.66 - 23:08.58] 这也是可以理解的
[23:08.58 - 23:10.14] 这些作为连接词的水泥
[23:10.14 - 23:13.60] 可以用来帮助读者迅速补捉专快之间的逻辑关系
[23:13.60 - 23:17.52] 你会发现好的文线点评中的水泥和专快的比例
[23:17.52 - 23:18.90] 是非常合适的
[23:18.90 - 23:21.46] 而不好的文线点评会呈现这样的特点
[23:21.46 - 23:23.28] 要么专快就是过多了
[23:23.28 - 23:25.44] 被别人认为是宗而不数
[23:25.44 - 23:27.42] 要么就是水泥过多了
[23:27.42 - 23:28.94] 大量作者的推论观点
[23:28.94 - 23:31.50] 但是没有看到足够的事实或证据支撑
[23:31.50 - 23:34.38] 同时由于缺乏对一有工作的引用
[23:34.38 - 23:37.36] 让人感觉作者是不是刻意忽略了某些文线
[23:37.36 - 23:39.30] 或者不清楚这个领域的竞展
[23:39.30 - 23:40.78] 导致自己张口就来
[23:40.78 - 23:43.18] 说的那些观点并不一定能站住脚
[23:43.18 - 23:45.46] 当然你们也不要非常机械的
[23:45.46 - 23:47.88] 以引不引文线来区分水泥和专快
[23:47.88 - 23:50.26] 水泥一般确实是不引文线的
[23:50.26 - 23:52.50] 但以了文线的也不一定就是专快
[23:52.50 - 23:54.38] 也不代表一定不是水泥
[23:54.38 - 23:59.40] 因为有的时候某些语句确实是需要作者体谅后才能写出的
[23:59.40 - 24:02.50] 但体谅的这个话中是需要一些文线支撑的
[24:02.50 - 24:05.20] 但是通过简单的单篇文线转数
[24:05.20 - 24:07.24] 是体谅不出这句话的
[24:07.24 - 24:07.82] 这种情况
[24:08.30 - 24:10.02] 我们也会算做事水泥
[24:10.02 - 24:12.00] 等你遇到后就知道了
[24:12.00 - 24:14.04] 这种情况常见于一句话中
[24:14.04 - 24:16.28] 在多处分散引用了多篇文线
[24:16.28 - 24:19.36] 如果只是在一句话的最后引了多篇文线
[24:19.36 - 24:20.94] 往往不属于此类情况
[24:20.94 - 24:22.20] 它还是专快
