[00:00.00 - 00:02.40] 如果你参加过我们其他的AI训练营
[16:25.98 - 16:27.32] 比如像我下面这样
[16:27.32 - 16:29.16] 比如第一种和第二种协法
[16:29.16 - 16:31.72] 你会觉得进入研究主题的速度过慢
[16:31.72 - 16:34.72] 讨论有些雷钻甚至会有些地方重复
[16:34.72 - 16:37.12] 第三种和第四种的区别在于
[16:37.12 - 16:38.94] 讲完可充放电池后
[16:38.94 - 16:40.98] 一个是进入其中的水系电池
[16:40.98 - 16:43.56] 另一个是进入其中的水系新电池
[16:43.56 - 16:45.78] 考虑水系电池这个范球更大
[16:45.78 - 16:48.20] 更容易得到广泛的读者理解和支持
[16:48.20 - 16:50.30] 所以我们可以选择这种形式
[16:50.30 - 16:53.36] 但注意任何协法都不是一成不变的
[16:53.36 - 16:55.78] 比如如果你写的文章第一句话
[16:55.78 - 16:57.74] 就是直接提及水系电池的
[16:57.74 - 17:00.18] 那么第二句话进入到水系新电池
[17:00.18 - 17:01.58] 也是可以的
[17:01.58 - 17:03.84] 千万不要陷入固定死板的协作模式
[17:03.84 - 17:05.50] 后期借助AI的辅助
[17:05.50 - 17:07.04] 这些工作会更为容易
[17:07.04 - 17:09.64] 甚至可以让AI给你写出四套协法
[17:09.64 - 17:12.36] 然后你就更容易体会那种协法更好了
[17:12.36 - 17:15.14] 这里需要介绍到我传给大家的第四个原则
[17:15.14 - 17:16.62] 我命名为原则四
[17:17.06 - 17:19.00] 如果你第一句话是从一个标题中
[17:19.00 - 17:20.08] 都没出现过的概念
[17:20.08 - 17:22.02] 或者比标题中最上位概念
[17:22.02 - 17:23.30] 还有上位的概念入手
[17:23.30 - 17:24.54] 那么一定要慎重
[17:24.54 - 17:26.82] 大部分情况都是不建议的
[17:26.82 - 17:27.90] 通过之前我的讲解
[17:27.90 - 17:28.88] 你就能发现
[17:28.88 - 17:31.32] 哪怕从这个标题的上位概念入手
[17:31.32 - 17:33.50] 讨论到这个标题中最下位的
[17:33.50 - 17:35.08] 最细科例度的研究对象
[17:35.08 - 17:36.52] 都还得经过好几个层
[17:36.52 - 17:38.92] 也就是说经过好几句话
[17:38.92 - 17:39.32] 所以
[17:39.32 - 17:41.52] 如果你出发点距离最上位概念
[17:41.52 - 17:42.84] 都还有一定距离的话
[17:42.84 - 17:44.12] 那评审人和读者
[17:44.12 - 17:46.02] 在看到你研究的那个对象的时候
[17:46.02 - 17:47.60] 已经彻底失去耐心了
[17:47.60 - 17:48.58] 或者会觉得
[17:48.58 - 17:50.48] 你这个人讲话罗里巴索的
[17:50.48 - 17:51.64] 思路不太清楚
[17:51.64 - 17:53.26] 中心思想不明确
[17:53.26 - 17:55.14] 比如我改过一位学生的
[17:55.14 - 17:56.16] 新鹰电视文章
[17:56.16 - 17:57.56] 他第一句话提到了
[17:57.56 - 17:58.48] 能源危机
[17:58.48 - 17:59.44] 全球变软
[17:59.44 - 18:00.88] 人类生存危机等
[18:00.88 - 18:03.10] 这个我感觉就不太合适了
[18:03.10 - 18:05.18] 从能源危机过度到新鹰电池
[18:05.18 - 18:06.64] 一方面练条太长
[18:06.64 - 18:08.16] 一方面也比较牵强
[18:08.16 - 18:10.28] 有很多对于解决能源危机
[18:10.28 - 18:11.70] 贡献更大的解决方案
[18:11.70 - 18:13.20] 你这个新鹰电池
[18:13.20 - 18:14.48] 对于解决能源危机
[18:14.48 - 18:15.50] 和他们相比
[18:15.50 - 18:16.98] 真的能起到很大作用吗
[18:16.98 - 18:18.78] 你看范文的第一句话说的是
[18:18.78 - 18:19.86] 大规模储能
[18:19.86 - 18:21.42] 电动车和消费电子
[18:21.42 - 18:22.44] 需要这样的电池
[18:22.44 - 18:23.56] 这个应该没毛病
[18:23.56 - 18:24.56] 因为这些领域
[18:24.56 - 18:25.88] 就是高度需要电池的
[18:25.88 - 18:27.28] 而且希望电池安全
[18:27.28 - 18:28.28] 环境有好
[18:28.28 - 18:29.90] 低成本能量密度
[18:29.90 - 18:30.82] 越高越好
[18:30.82 - 18:32.26] 但是你说你的电池
[18:32.26 - 18:33.46] 能解决能源危机
[18:33.46 - 18:34.92] 这就没那么直接了
[18:34.92 - 18:36.38] 那为什么不是何具变呢
[18:36.38 - 18:37.50] 我觉得何具变
[18:37.50 - 18:38.70] 可能比你这个电池
[18:38.70 - 18:40.22] 对于解决能源危机
[18:40.22 - 18:41.22] 有更重要的意义
[18:41.68 - 18:42.66] 而且能源危机
[18:42.66 - 18:43.96] 也有很多解决录境
[18:43.96 - 18:46.00] 也不一定是你这个新鹰电池
[18:46.00 - 18:47.18] 这么写的话
[18:47.18 - 18:48.68] 能源领域的其他专家
[18:48.68 - 18:50.18] 也容易跳出来攻击你
[18:50.18 - 18:51.54] 除非你这个电池
[18:51.54 - 18:53.06] 确实具有化实带的意义
[18:53.06 - 18:54.66] 在解决能源危机中
[18:54.66 - 18:56.52] 确实起著非常重要的一环
[18:56.52 - 18:58.48] 比如在量化指标上
[18:58.48 - 19:00.26] 能起到5%的作用
[19:00.26 - 19:01.68] 那你可以这样写
[19:01.68 - 19:03.50] 明白了上位概念的推进逻辑
[19:03.50 - 19:04.82] 以及偏离上位概念
[19:04.82 - 19:05.74] 会产生的问题
[19:05.74 - 19:07.20] 现在我开始告诉你
[19:07.20 - 19:08.96] 一个何歌文字的第五个原则
[19:08.96 - 19:10.78] 我命名为原则五
[19:10.78 - 19:12.38] 就是你写的每一句话
[19:12.38 - 19:13.86] 你都要自己问自己
[19:13.86 - 19:15.58] 这句话中的每一个单词
[19:15.58 - 19:16.64] 每一个词组
[19:16.64 - 19:18.18] 和你的具体研究内容
[19:18.18 - 19:19.40] 或者说你做的工作
[19:19.40 - 19:20.56] 到底有没有关系
[19:20.56 - 19:21.70] 也就是说
[19:21.70 - 19:23.18] 你描述的某些特点
[19:23.18 - 19:24.44] 特征问题等
[19:24.44 - 19:25.50] 你自己的研究
[19:25.50 - 19:26.62] 到底有没有体现
[19:26.62 - 19:28.22] 如果没有体现出
[19:28.22 - 19:29.88] 甚至你的研究没有做到
[19:29.88 - 19:30.54] 那么这些
[19:30.54 - 19:31.72] 都是会被神搞人
[19:31.72 - 19:33.04] 以及独者攻击的点
[19:33.04 - 19:34.46] 比如范本的第一句话
[19:34.46 - 19:36.10] 里面提到了大规模储能
[19:36.10 - 19:37.74] 电动车和消费电子
[19:37.74 - 19:39.06] 你就要实施考虑
[19:39.06 - 19:40.26] 你做的这个电池
[19:40.26 - 19:42.10] 会不会在里面有应用的前例
[19:42.10 - 19:43.78] 如果完全没有的话
[19:43.78 - 19:44.62] 那么神搞人
[19:44.62 - 19:45.92] 就有可能会攻击了
[19:45.92 - 19:48.28] 比如你做的是一个战地体积很大
[19:48.28 - 19:49.56] 带有非常复杂的
[19:49.56 - 19:50.96] 机械系统的业流电池
[19:50.96 - 19:52.92] 那你这么写就不合适了
[19:52.92 - 19:53.74] 因为这样的电池
[19:53.74 - 19:56.02] 在消费电子和电动车领域中应用
[19:56.02 - 19:57.76] 显然是非常不方便的
[19:57.76 - 20:00.34] 你放眼看一看消费电子和电动车领域
[20:00.34 - 20:02.52] 确实也没有这种业流电池的使用
[20:02.52 - 20:04.16] 这种电池更何事的是
[20:04.16 - 20:05.00] 大规模储能
[20:05.00 - 20:07.32] 所以你就不能也模仿其他范文
[20:07.32 - 20:08.86] 也照著这么写了
[20:08.86 - 20:10.64] 或者当AI给你写了这么句话
[20:10.64 - 20:12.66] 你就得知道如何调整了
[20:12.66 - 20:14.50] 所以这就是我反复强调的
[20:14.50 - 20:16.48] AI时代神媒特别重要的原因
[20:17.02 - 20:18.36] 否则就算给了你范文
[20:18.36 - 20:20.46] 就算AI申成了一些文字素材
[20:20.46 - 20:22.76] 你都不知道哪些地方能界界
[20:22.76 - 20:24.42] 哪些地方不能界界
[20:24.42 - 20:27.08] 这里也是要纠正AI使用者的很大物区
[20:27.08 - 20:28.88] 他们觉得自己不会用AI
[20:28.88 - 20:31.48] 所以只要掌握如何用AI工具就行了
[20:31.48 - 20:32.42] 但实际上
[20:32.42 - 20:34.82] 他们的问题是在于不会更底层的东西
[20:34.82 - 20:36.36] 比如不会讲人话
[20:36.36 - 20:37.58] 没有神媒的概念
[20:37.58 - 20:39.72] 所以光照如何使用AI工具
[20:39.72 - 20:41.96] 也根本无法让他们写出地道的
[20:41.96 - 20:43.46] 没有AI申成率的论文
[20:43.46 - 20:45.68] 就如同很多人觉得自己不会写
[20:45.68 - 20:47.14] SCI是因为英文不好
[20:47.14 - 20:48.76] 但其实完全不是的
[20:48.76 - 20:49.94] 而是因为与文不好
[20:49.94 - 20:51.82] 如果一个与文合格的人
[20:51.82 - 20:52.90] 哪怕不会英文
[20:52.90 - 20:54.88] 他也能写出地道的SCI
[20:54.88 - 20:57.12] 所以我首先要通过一系列的训练
[20:57.12 - 20:59.28] 让你的神媒能到极格的水平
[20:59.28 - 21:01.40] 否则你看了AI声称的文字
[21:01.40 - 21:02.92] 你会更加无从下手
[21:02.92 - 21:06.30] 不知道AI说的哪些地方是自己能参考的
[21:06.30 - 21:07.94] 哪些地方是AI说错的
[21:07.94 - 21:09.30] 是不能参考的
[21:09.30 - 21:10.86] 因为我前面说过了
[21:10.86 - 21:13.36] AI的显示逻辑错误是非常少的
[21:13.36 - 21:15.60] 或者说一般不太有经验的研究者
[21:15.60 - 21:16.96] 是很难识别的
[21:16.96 - 21:19.70] 而翻本写的这句话就是符合原则舞的
[21:19.70 - 21:22.08] 如果新网电池能发展到位的话
[21:22.08 - 21:24.18] 确实有可能在大规模处能
[21:24.18 - 21:26.70] 电动车和消费电子领域有应用
[21:27.12 - 21:30.66] 其实一次新网电池本身在消费电子领域就有应用
[21:30.66 - 21:33.46] 那做成可冲放的显然也应该会有应用
[21:33.46 - 21:35.06] 还应该能托展应用面
[21:35.06 - 21:36.90] 大规模处能也是如此
[21:36.90 - 21:39.44] 大规模希望便宜安全的电池
[21:39.44 - 21:41.44] 新网也符合这两点要求
[21:41.44 - 21:44.32] 至于电动车虽然大量使用理电池
[21:44.32 - 21:47.34] 但低速车中也还是有千酸等电池的使用
[21:47.34 - 21:50.58] 新网有可能在这些场景的电动车中使用
[21:50.58 - 21:51.90] 第一句话的其他部分
[21:51.90 - 21:54.64] 你会发现也是符合我收的原则舞
[21:54.64 - 21:57.30] 比如他说需要可冲放电池
[21:57.30 - 22:00.82] 然后你会发现标题理题的就是这种可冲放电池
[22:00.82 - 22:02.46] 接著他说这个电池
[22:02.46 - 22:04.42] 希望具有的特征是高安全性
[22:04.42 - 22:06.60] 然后标题理题的水系电池
[22:06.60 - 22:08.48] 就是一种高安全性的电池
[22:08.48 - 22:10.16] 后文会再次提及
[22:10.16 - 22:12.18] 这句话中提到的环境友好
[22:12.18 - 22:13.56] 本文研究的是新网
[22:13.56 - 22:16.30] 相对其他元素而言有一定的环保优势
[22:16.30 - 22:18.52] 我看有人的研究个理地电池
[22:18.52 - 22:21.34] 然后前研也说要发展环境友好的电池
[22:21.34 - 22:22.48] 那就不合适了
[22:22.48 - 22:23.92] 直接就被人打脸了
[22:23.92 - 22:25.30] 这地不是很独的吗
[22:25.30 - 22:27.12] 这句话接著提到低成本
[22:27.12 - 22:30.30] 新网这两个元素确实成本相对较低
[22:30.30 - 22:32.54] 最后这句话提到高能量密度
[22:32.54 - 22:34.88] 你看题目中就提及了高能量
[22:34.88 - 22:37.96] 说明本文就是想发展高能量密度的电池
[22:37.96 - 22:40.78] 所以这里面哪怕介绍电池的四个特点
[22:40.78 - 22:42.60] 也不是无缘无故介绍的
[22:42.60 - 22:45.74] 也全都是和作者要研究的这个体系相关的
[22:50.32 - 22:51.88] 那有的人在写作的时候
[22:51.88 - 22:53.64] 比如模仿范文的时候
[22:53.64 - 22:55.10] 他媒体会到这个点
[22:55.10 - 22:56.54] 范文说有哪些特征
[22:56.54 - 22:58.00] 范文说有哪些优点
[22:58.00 - 22:59.82] 他也跟著这么超上去
[22:59.82 - 23:00.72] 结果他会发现
[23:00.72 - 23:03.58] 有一些特征其实是他的研究不具备的
[23:03.58 - 23:06.44] 比如他会超上去有极高的被率性能
[23:06.44 - 23:07.96] 比如五分钟充满电
[23:07.96 - 23:09.62] 或者宣传的温宇特征
[23:09.62 - 23:11.40] 就是说可以在很低的温度
[23:11.40 - 23:12.94] 比如零下四十度工作
[23:12.94 - 23:14.56] 也可以在很高的温度
[23:14.56 - 23:16.66] 比如其实设施度以上工作
[23:16.66 - 23:18.36] 但问题是自己的研究
[23:18.36 - 23:20.04] 亚根没涉及这方面的研究
[23:20.04 - 23:22.12] 那这样也很容易被人攻击掉
[23:22.12 - 23:23.28] 人家直接会问
[23:23.28 - 23:25.58] 你这个电池也没撤过零下四十度
[23:25.94 - 23:26.66] 所以你看
[23:26.66 - 23:27.86] 仅仅是第一句话
[23:27.86 - 23:28.90] 就有这么多门道
[23:28.90 - 23:30.78] 可以引出我的五个写作原则
[23:30.78 - 23:32.70] 我帮大家快速回顾一下
[23:32.70 - 23:33.46] 原则一
[23:33.46 - 23:36.40] 每句话都要和标题有直接或见解的关系
[23:36.40 - 23:38.08] 前年背景铺点阶段
[23:38.08 - 23:40.62] 不能出现和标题完全无关的表述
[23:40.62 - 23:42.40] 原则二概念推进
[23:42.40 - 23:44.18] 尊寻到金字塔结构
[23:44.18 - 23:46.24] 从上位概念到下位概念
[23:46.24 - 23:48.16] 续好从大到小地检
[23:48.16 - 23:49.38] 不能开到车
[23:49.38 - 23:50.44] 原则三
[23:50.44 - 23:52.16] 进入正题的速度要失踪
[23:52.16 - 23:53.64] 一般经过两层左右
[23:53.64 - 23:55.94] 上位概念进入研究对象比较合适
[23:55.94 - 23:58.56] 不是所有上位概念都必须主义讨论
[23:58.56 - 24:00.78] 可以根据需要跳过某些层级
[24:00.78 - 24:01.92] 原则四
[24:01.92 - 24:03.96] 从标题概念体系之外的概念
[24:03.96 - 24:04.86] 其比要顺重
[24:04.86 - 24:06.14] 什么能源危机
[24:06.14 - 24:08.12] 全球变短之类的万能开头
[24:08.12 - 24:10.28] 如果和你标题中的最上位概念
[24:10.28 - 24:11.24] 都还隔著好几层
[24:11.24 - 24:12.34] 那就不要用
[24:12.34 - 24:13.00] 原则五
[24:13.00 - 24:14.20] 你写的每一个词
[24:14.20 - 24:15.96] 都要和你的实际研究有关联
[24:15.96 - 24:17.16] 你描述的特点
[24:17.16 - 24:18.62] 优势应用场景
[24:18.62 - 24:20.54] 你自己的研究一定要能体现
[24:20.54 - 24:23.12] 否则就是给神告人提供攻击你的八饼
[24:23.12 - 24:25.30] 这也是我反复强调的
[24:25.30 - 24:27.36] 虽然我给你讲的是理工科的案例
[24:27.36 - 24:28.68] 但你用于医学
[24:28.68 - 24:30.02] 用于其他领域案例
[24:30.02 - 24:31.06] 也是用的
[24:31.06 - 24:31.84] 你会发现
[24:31.84 - 24:33.04] 大部分合格
[24:33.04 - 24:34.36] 尤其是优秀的影园
[24:34.36 - 24:36.40] 都符合我以上说的五个原则
